image_url,genus,location,verbatim_date,orginal_date,month,day,year,geocoded,latitude,longitude,date,julian_date,index,1_CWSs,2_CWSs,3_CWSs,4_CWSs,5_CWSs,6_CWSs,7_CWSs,8_CWSs,9_CWSs,10_CWSs,dly_date,dly_maxt,dly_mint,dly_avgt,dly_pcpn,dly_id_use,mly_date,mly_maxt,mly_maxt_nmppm,mly_mint,mly_mint_nmppm,mly_avgt,mly_avgt_nmppm,mly_pcpn,mly_pcpn_nmppm,mly_id_use
http://citsci.s3.amazonaws.com/nevp/CONN00015778.jpg,Chelidonium,"Mansfield, Connecticut","June 5, 1917",06/05/1917,6,5,1917,"Mansfield, CT, USA",41.788489,-72.2292913,1917-6-5,1917156,0,283,67835,4313,27,4325.0,36224.0,4350.0,33214.0,4343.0,33494.0,1917-06-05,77,48,62.5,0.00,283.0,1917-06,88,0,46,0,64.23,0,4.05,0,283.0
http://citsci.s3.amazonaws.com/nevp/CONN00015784.jpg,Chelidonium,"Mansfield, Connecticut","July 15, 1970",07/15/1970,7,15,1970,"Mansfield, CT, USA",41.788489,-72.2292913,1970-7-15,1970196,1,283,67835,4313,27,4325.0,36224.0,4350.0,33214.0,4343.0,33494.0,1970-07-15,77,61,69.0,0.00,283.0,1970-07,90,0,53,0,70.77,0,0.78,0,283.0
http://citsci.s3.amazonaws.com/nevp/CONN00015779.jpg,Chelidonium,"Andover, Connecticut","May 22, 1940",05/22/1940,5,22,1940,"Andover, CT, USA",41.7373211,-72.37035999999999,1940-5-22,1940143,2,4325,67835,283,4313,27.0,4277.0,4350.0,,,,1940-05-22,65,51,58.0,0.02,283.0,1940-05,77,0,33,0,55.71,0,7.94,0,283.0
http://citsci.s3.amazonaws.com/nevp/CONN00015781.jpg,Chelidonium,"Meriden, Connecticut","June 21, 1971",06/21/1971,6,21,1971,"Meriden, CT, USA",41.5381535,-72.80704349999999,1971-6-21,1971172,3,4273,4280,4262,4319,4283.0,4281.0,4282.0,,,,1971-06-21,84,66,75.0,0.00,4280.0,1971-06,90,0,44,0,69.07,0,1.66,0,4280.0
http://citsci.s3.amazonaws.com/nevp/CONN00015782.jpg,Chelidonium,"Killingworth, Connecticut","Jul 17, 1874",07/17/1874,7,17,1874,"Killingworth, CT, USA",41.3581869,-72.5645602,1874-7-17,1874198,4,4264,4242,4278,4280,,,,,,,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF,NSF
http://citsci.s3.amazonaws.com/nevp/CONN00015783.jpg,Chelidonium,"Storrs, Connecticut","Jul 16, 1969",07/16/1969,7,16,1969,"Storrs, Mansfield, CT, USA",41.8084314,-72.24952309999999,1969-7-16,1969197,12,67835,283,4313,27,4325.0,36224.0,4350.0,4343.0,33494.0,33214.0,1969-07-16,82,64,73.0,0.00,283.0,1969-07,91,0,49,0,68.42,0,6.59,0,283.0
http://citsci.s3.amazonaws.com/nevp/CONN00015785.jpg,Chelidonium,"Fairfield, Connecticut","June 13, 1895",06/13/1895,6,13,1895,"Fairfield, CT, USA",41.1408363,-73.2612615,1895-6-13,1895164,5,4232,4224,4240,281,33807.0,280.0,18375.0,4219.0,,,1895-06-13,81,62,71.5,M,280.0,1895-06,94,0,45,0,68.62,0,2.00,26,280.0
http://citsci.s3.amazonaws.com/nevp/CONN00015786.jpg,Chelidonium,"Glastonbury, Connecticut","July 4, 1907",07/04/1907,7,4,1907,"Glastonbury, CT, USA",41.6861794,-72.5450779,1907-7-4,1907185,6,4301,4300,4278,4317,4280.0,4277.0,4325.0,4264.0,4319.0,,1907-07-04,80,52,66.0,0.00,4301.0,1907-07,92,0,52,0,72.55,0,1.86,0,4301.0
http://citsci.s3.amazonaws.com/nevp/CONN00015787.jpg,Chelidonium,"Groton, Connecticut","May 28, 1938",05/28/1938,5,28,1938,"Groton, CT, USA",41.3497456,-72.0790717,1938-5-28,1938148,7,433,25,279,4261,4270.0,4269.0,4276.0,,,,1938-05-28,70,58,64.0,0.01,433.0,1938-05,78,0,37,0,57.15,0,4.27,0,433.0
http://citsci.s3.amazonaws.com/nevp/CONN00015788.jpg,Chelidonium,"Groton, Connecticut","May 30, 1938",05/30/1938,5,30,1938,"Groton, CT, USA",41.3497456,-72.0790717,1938-5-30,1938150,8,433,25,279,4261,4270.0,4269.0,4276.0,,,,1938-05-30,65,44,54.5,0.00,433.0,1938-05,78,0,37,0,57.15,0,4.27,0,433.0
http://citsci.s3.amazonaws.com/nevp/CONN00015789.jpg,Chelidonium,"Groton, Connecticut","June 12, 1927",06/12/1927,6,12,1927,"Groton, CT, USA",41.3497456,-72.0790717,1927-6-12,1927163,9,433,25,279,4261,4270.0,4269.0,4276.0,,,,1927-06-12,76,60,68.0,0.00,433.0,1927-06,89,0,46,0,65.22,0,3.33,0,433.0
http://citsci.s3.amazonaws.com/nevp/CONN00015790.jpg,Chelidonium,"Ledyard, Connecticut","June 24, 1923",06/24/1923,6,24,1923,"Ledyard, CT, USA",41.4398205,-72.01424209999999,1923-6-24,1923175,13,279,4269,25,433,4276.0,4270.0,4261.0,4289.0,4288.0,16357.0,1923-06-24,85,65,75.0,0.20,433.0,1923-06,94,0,50,1,70.07,1,3.34,0,433.0
http://citsci.s3.amazonaws.com/nevp/CONN00015791.jpg,Chelidonium,"Hartford, Connecticut","June, 1989",06/00/1989,6,0,1989,"Hartford, CT, USA",41.76371109999999,-72.6850932,1989-6-0,1989152,10,4317,4300,4301,4319,29569.0,4280.0,4331.0,,,,IC,IC,IC,IC,IC,4317.0,1989-06,91,0,53,1,68.62,1,6.16,0,4300.0
http://citsci.s3.amazonaws.com/nevp/CONN00015792.jpg,Chelidonium,"Pomfret, Connecticut","August 28, 1993",08/28/1993,8,28,1993,"Pomfret, CT, USA",41.8975977,-71.9625736,1993-8-28,1993240,14,4341,144,4312,4343,37196.0,33214.0,8981.0,39162.0,67827.0,8992.0,1993-08-28,94,M,M,0.00,144.0,1993-08,94,0,46,2,69.62,2,5.09,0,144.0
http://citsci.s3.amazonaws.com/nevp/CONN00015793.jpg,Chelidonium,"East Hartford, Connecticut","May 12, 1899",05/12/1899,5,12,1899,"East Hartford, CT, USA",41.7634219,-72.6128339,1899-5-12,1899132,11,4300,4301,4317,4319,29569.0,4278.0,4280.0,,,,1899-05-12,72,47,59.5,0.00,4317.0,1899-05,84,1,39,1,59.60,2,2.46,0,4317.0
